bps,fixed,fee_mult,downtime,fee_mode,policy,capital,days,paid,retained_fees,ending_capital,total_wealth,gross_fees,costs,unrecovered_costs,fee_reserve,rebalances,settlements,max_drawdown,close_in_range_fraction,crossing_bar_fraction,narrow_fraction,gross_fee_apr_pct,spendable_apr_pct
10.0,0.02,0.5,1,strict,economic_3_30m_5,190.0,17.99652777777778,3.9234201017976873,3.923420101797688,182.77573190635326,186.69915200815095,10.087414215130853,2.2405740115354895,0.0,0.0,17,19,0.07767487164937481,0.9915107080841211,0.0136986301369863,0.0,107.67884707033674,41.88083726159132
10.0,0.02,1.0,1,strict,fixed_1,190.0,17.99652777777778,15.501622479776485,15.501622479776486,160.89103144927273,176.3926539290492,42.12723386932453,11.123988909771517,0.0,0.0,112,19,0.1671122580093527,0.9444337256415204,0.11653482539070037,0.9783908933050357,449.69026517292303,165.4732125343079
10.0,0.02,1.0,1,strict,fixed_3,190.0,17.99652777777778,9.086184247647903,9.086184247647905,187.85930342666276,196.94548767431067,20.43602771191049,2.263659216614644,0.0,0.0,17,19,0.07046092729689823,0.9915107080841211,0.0136986301369863,0.0,218.14588513825873,96.99114393338014
10.0,0.02,1.0,1,strict,fixed_5,190.0,17.99652777777778,5.873594734735367,5.873594734735367,192.31835122264582,198.1919459573812,12.93715337745249,1.189963907981769,0.0,0.0,7,19,0.0750583997028702,0.9959482924946942,0.0040517075053058075,0.0,138.0985979505677,62.69812022252727
10.0,0.02,1.0,1,strict,economic_3_30m_5,190.0,17.99652777777778,9.086184247647903,9.086184247647905,187.85930342666276,196.94548767431067,20.43602771191049,2.263659216614644,0.0,0.0,17,19,0.07046092729689823,0.9915107080841211,0.0136986301369863,0.0,218.14588513825873,96.99114393338014
10.0,0.02,2.0,1,strict,fixed_1,190.0,17.99652777777778,38.807790024304445,38.807790024304445,182.0465614662642,220.85435149056863,89.2285270675834,11.612947018974511,0.0,0.0,112,19,0.10417833705130985,0.9444337256415204,0.11653482539070037,0.9783908933050357,952.4764935309124,414.2566170125901
10.0,0.02,2.0,1,strict,fixed_3,190.0,17.99652777777778,19.815728036000856,19.815728036000852,198.42738285671422,218.24311089271507,41.94241569012596,2.3109596181242735,0.0,0.0,17,19,0.06152946533717396,0.9915107080841211,0.0136986301369863,0.0,447.7174098871859,211.52445049548726
10.0,0.02,2.0,1,strict,fixed_5,190.0,17.99652777777778,12.549783328839524,12.549783328839528,199.09798663807595,211.64776996691546,26.30285855472584,1.2032918970466846,0.0,0.0,7,19,0.06567716502376408,0.9959482924946942,0.0040517075053058075,0.0,280.77180369759236,133.96358779487704
10.0,0.02,2.0,1,strict,economic_3_30m_5,190.0,17.99652777777778,19.815728036000856,19.815728036000852,198.42738285671422,218.24311089271507,41.94241569012596,2.3109596181242735,0.0,0.0,17,19,0.06152946533717396,0.9915107080841211,0.0136986301369863,0.0,447.7174098871859,211.52445049548726
10.0,0.1,0.5,1,strict,fixed_1,190.0,17.99652777777778,0.0,0.0,145.89659397862758,145.89659397862758,20.06925608232161,21.298043277031272,1.228787194709683,0.0,112,19,0.24310109236472754,0.9444337256415204,0.11653482539070037,0.9783908933050357,214.23075432574586,0.0
